Season,Team ,Position,Position prevoius at Laliga2,Points At LaLiga,Points At prevoius season at Laliga2,Goals for At LaLiga,Goals For at prevoius season Laliga2,Goals against At LaLiga,Goals against at prevous LaLiga2,Is top 10,Xg At LaLiga,xPT LaLiga
24-25,Leganes,18,1,40,74,39,56,56,27,No,38.56,36.12
24-25,Valladoid,20,2,16,72,26,51,90,36,No,36.08,31.65
24-25,Espanyol,15,4,42,69,40,59,51,40,No,38.68,39.82
23-24,Granada,20,1,21,75,38,55,79,30,No,43.58,35.89
23-24,Las Palmas ,16,2,40,72,47,49,40,29,No,35.82,37.4
23-24,Alaves,10,4,46,71,36,47,46,33,Yes,51.97,50.74
22-23,Almeria,17,1,41,81,49,68,65,35,No,46.09,40.16
22-23,Valladoid,18,2,40,81,33,71,63,43,No,39.86,34.89
22-23,Girona,10,6,49,68,58,57,55,42,Yes,54.8,51.6
21-22,Espanyol,14,1,42,82,40,71,53,28,No,38.9,40.03
21-22,Mallorca,17,2,39,82,36,54,63,28,No,40.58,39.75
21-22,Rayo Valecano,12,6,42,67,39,52,50,40,No,47.03,50.46
20-21,Huesca,18,1,34,70,34,56,53,42,No,37.98,45.23
20-21,Cadiz,12,2,44,69,36,50,58,39,No,36.7,39.01
20-21,Elche,17,6,36,61,34,52,55,44,No,30.4,30.31
19-20,Osasuna,10,1,52,87,46,59,54,35,Yes,49.04,51.51
19-20,Granada,7,2,56,79,52,52,45,28,Yes,45.02,52.6
19-20,Mallorca,19,5,33,69,40,53,65,37,No,40.46,35.36